wind_speed_kmh,so2_ugm3,h2s_ugm3
0.0,55.0,18.0
0.0,49.0,16.0
0.0,41.0,16.0
0.0,36.0,14.0
0.0,28.0,11.0
0.0,20.0,11.0
0.0,15.0,11.0
0.0,10.0,11.0
0.0,7.0,8.0
0.0,5.0,8.0
0.0,2.0,8.0
0.0,0.0,8.0
0.0,0.0,8.0
0.0,0.0,8.0
0.0,0.0,8.0
6.06,0.0,8.0
6.06,0.0,8.0
0.0,0.0,8.0
0.0,0.0,7.0
0.0,0.0,7.0
0.0,2.0,7.0
0.0,2.0,7.0
0.0,2.0,7.0
0.0,2.0,7.0
0.0,2.0,7.0
0.0,2.0,7.0
0.0,2.0,7.0
0.0,2.0,8.0
0.0,2.0,8.0
0.0,2.0,8.0
5.56,5.0,8.0
5.56,5.0,8.0
6.06,5.0,11.0
6.06,5.0,11.0
0.0,7.0,11.0
0.0,7.0,11.0
0.0,7.0,11.0
0.0,7.0,11.0
6.55,10.0,11.0
6.55,10.0,11.0
8.03,10.0,11.0
8.03,10.0,11.0
8.03,13.0,11.0
8.03,13.0,11.0
6.55,15.0,11.0
6.55,18.0,14.0
7.05,20.0,14.0
7.05,23.0,14.0
6.55,26.0,14.0
6.55,31.0,14.0
6.55,36.0,14.0
7.54,39.0,14.0
6.06,288.0,79.0
8.52,280.0,85.0
8.52,275.0,82.0
8.52,269.0,72.0
8.03,262.0,67.0
8.03,246.0,63.0
7.54,230.0,57.0
7.54,225.0,57.0
9.5,230.0,63.0
9.5,243.0,67.0
12.4,259.0,70.0
9.98,264.0,67.0
9.5,227.0,60.0
8.03,212.0,56.0
8.03,214.0,57.0
13.35,227.0,57.0
13.35,235.0,60.0
13.83,233.0,57.0
13.83,235.0,60.0
11.92,324.0,82.0
11.92,340.0,86.0
11.92,358.0,89.0
11.92,377.0,89.0
10.95,379.0,89.0
10.47,364.0,82.0
11.44,330.0,72.0
9.98,301.0,67.0
9.98,429.0,99.0
8.03,495.0,116.0
8.03,500.0,116.0
6.06,495.0,112.0
6.06,476.0,102.0
5.56,442.0,92.0
5.56,390.0,79.0
0.0,267.0,53.0
0.0,222.0,50.0
0.0,196.0,46.0
0.0,178.0,43.0
0.0,165.0,37.0
0.0,159.0,37.0
0.0,159.0,37.0
0.0,165.0,40.0
0.0,175.0,40.0
0.0,186.0,46.0
0.0,196.0,47.0
0.0,212.0,50.0
0.0,227.0,53.0
0.0,246.0,56.0
0.0,262.0,65.0
6.55,293.0,75.0
6.55,351.0,89.0
7.54,413.0,105.0
7.54,458.0,119.0
